Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-01;73,28;73,62;72,80;73,62;1.129;82.618
2019-06-28;72,53;72,75;72,53;72,75;400;29.027
2019-06-27;72,05;72,28;71,91;71,98;1.240;89.447
2019-06-26;72,63;72,63;71,71;72,05;483;34.743
2019-06-25;72,49;72,99;72,49;72,81;340;24.729
2019-06-24;72,05;72,82;72,05;72,67;654;47.428
2019-06-21;73,31;73,46;71,49;71,66;335;24.152
2019-06-20;74,00;74,00;73,51;73,51;235;17.321
2019-06-19;72,67;73,66;72,13;73,38;1.299;94.778
2019-06-18;70,78;72,97;70,78;72,97;2.608;188.780
2019-06-17;70,66;70,66;70,00;70,24;234;16.466
2019-06-14;70,36;70,75;70,36;70,70;493;34.760
2019-06-13;70,03;70,70;70,03;70,50;932;65.628
2019-06-12;70,00;70,54;69,67;70,54;1.003;70.304
2019-06-11;69,21;70,02;69,12;69,12;1.247;86.709
2019-06-10;69,12;69,18;69,12;69,18;199;13.764
2019-06-07;69,20;69,26;68,61;68,78;524;36.204
2019-06-06;68,98;69,16;68,76;68,76;426;29.418
2019-06-05;68,01;68,27;67,76;68,27;558;37.957
2019-06-04;68,09;68,44;67,96;68,44;998;68.012
2019-06-03;66,58;67,60;66,00;67,25;2.377;157.924
2019-05-31;66,82;66,96;66,37;66,96;389;25.895
2019-05-30;67,50;67,51;66,93;67,28;669;44.965
2019-05-29;67,74;67,74;67,18;67,24;244;16.416
2019-05-28;68,40;68,49;68,40;68,49;540;36.938
2019-05-27;69,95;71,00;69,70;69,70;250;17.528
2019-05-24;69,02;69,98;69,02;69,94;532;36.980
2019-05-23;69,06;69,50;68,89;69,03;910;62.931
2019-05-22;67,49;68,62;67,23;68,62;610;41.116
2019-05-21;66,92;67,51;66,92;67,51;1.512;101.587
2019-05-20;67,51;67,51;66,80;66,85;669;44.836
2019-05-17;67,82;68,14;67,30;67,74;599;40.622
2019-05-16;67,50;68,42;67,50;68,42;1.248;84.397
2019-05-15;67,30;67,37;67,26;67,26;245;16.488
2019-05-14;66,50;66,98;66,48;66,98;335;22.303
2019-05-13;66,37;66,70;65,59;65,59;1.749;116.020
2019-05-10;68,32;68,32;66,44;66,78;848;57.291
2019-05-09;69,36;69,36;68,28;68,28;203;14.022
2019-05-08;67,61;68,55;67,61;68,55;547;37.299
2019-05-07;68,29;68,53;67,44;67,54;1.328;90.563
2019-05-06;67,24;68,24;67,06;67,57;1.240;83.718
2019-05-03;67,23;68,40;67,23;68,40;645;43.776
2019-05-02;66,41;67,29;66,41;66,75;2.296;154.069
2019-04-30;68,43;68,43;66,70;67,00;1.560;105.864
2019-04-29;68,00;68,97;68,00;68,20;1.166;79.699
2019-04-26;69,19;70,59;67,15;67,59;2.522;172.350
2019-04-25;68,77;69,05;68,74;68,74;224;15.430
2019-04-24;69,25;69,25;68,82;69,16;860;59.380
2019-04-23;68,65;69,05;68,56;69,05;803;55.158
2019-04-18;68,14;68,83;68,13;68,83;608;41.680
2019-04-17;69,34;69,34;68,50;68,50;880;60.565
2019-04-16;70,03;70,67;69,69;70,05;1.010;71.123
2019-04-15;69,76;70,10;69,54;69,95;1.143;79.872
2019-04-12;70,86;70,86;69,44;69,44;2.267;158.802
2019-04-11;71,49;71,54;70,13;70,20;976;69.237
2019-04-10;72,09;72,25;72,00;72,16;1.855;133.736
2019-04-09;71,88;72,56;71,80;72,20;840;60.515
2019-04-08;71,90;72,74;71,90;72,20;1.664;120.447
2019-04-05;71,80;72,28;71,60;72,28;516;37.120
2019-04-04;72,46;73,07;71,80;71,80;3.428;248.034
2019-04-03;73,80;74,14;72,31;72,50;2.935;215.942
2019-04-02;73,50;73,98;71,53;73,98;1.266;92.226
2019-04-01;72,46;74,08;71,54;73,30;2.248;163.944
2019-03-29;75,70;75,70;71,19;72,30;3.405;247.559
2019-03-28;75,89;76,50;75,89;76,42;3.339;254.845
2019-03-27;75,97;75,97;75,04;75,63;751;56.507
2019-03-26;75,56;76,09;75,56;76,09;860;65.315
2019-03-25;74,85;75,00;74,65;74,87;3.563;266.396
2019-03-22;75,68;75,68;74,98;74,99;990;74.514
2019-03-21;75,17;76,00;75,16;75,38;693;52.250
2019-03-20;75,61;75,80;74,62;74,62;1.100;82.883
2019-03-19;75,17;75,48;75,09;75,18;1.171;88.104
2019-03-18;74,68;75,20;74,41;75,20;1.218;91.158
2019-03-15;74,55;74,69;74,13;74,50;898;66.720
2019-03-14;74,80;74,80;74,33;74,56;412;30.742
2019-03-13;74,03;74,73;73,97;74,13;1.999;148.335
2019-03-12;74,00;74,00;73,65;73,65;283;20.889
2019-03-11;73,00;74,51;72,50;74,13;1.265;93.512
2019-03-08;74,09;74,09;73,47;74,00;695;51.155
2019-03-07;74,27;74,27;73,40;73,40;751;55.446
2019-03-06;74,17;74,71;74,17;74,39;2.401;178.757
2019-03-05;73,48;75,00;73,34;75,00;1.012;75.048
2019-03-04;73,68;73,68;72,50;73,11;2.204;161.245
2019-03-01;73,26;73,26;72,42;72,90;677;49.247
2019-02-28;72,00;72,78;72,00;72,74;1.674;121.557
2019-02-27;73,39;74,35;73,39;74,21;740;54.530
2019-02-26;72,97;73,88;72,69;73,85;1.559;114.119
2019-02-25;72,45;73,19;71,90;73,14;2.126;153.815
2019-02-22;70,72;71,95;70,72;71,95;809;57.317
2019-02-21;71,36;71,59;71,23;71,27;437;31.204
2019-02-20;70,86;71,53;70,66;71,53;776;54.972
2019-02-19;70,94;70,94;70,00;70,59;513;36.144
2019-02-18;72,02;72,02;70,85;71,01;424;30.358
2019-02-15;70,28;72,21;70,28;72,01;1.217;86.552
2019-02-14;65,48;71,17;65,48;70,75;5.185;359.417
2019-02-13;65,39;65,77;65,39;65,77;1.185;77.650
2019-02-12;65,89;65,99;65,85;65,85;190;12.518
2019-02-11;65,56;65,75;65,22;65,35;1.565;102.543
2019-02-08;65,41;65,70;65,22;65,43;619;40.495
2019-02-07;65,05;65,90;65,05;65,64;1.695;110.974
2019-02-06;65,41;65,58;65,27;65,42;298;19.490
2019-02-05;65,31;65,71;64,25;65,48;726;47.152
2019-02-04;64,38;64,90;64,33;64,41;1.782;115.020
2019-02-01;64,57;64,73;64,28;64,73;1.163;75.144
2019-01-31;62,81;64,10;62,81;63,91;2.625;166.539
2019-01-30;62,10;63,34;62,10;63,00;219;13.841
2019-01-29;62,30;63,21;62,30;63,00;733;45.737
2019-01-28;62,81;62,96;61,86;62,30;2.901;181.071
2019-01-25;63,72;63,72;62,68;62,68;364;23.125
2019-01-24;64,20;64,36;63,77;63,77;1.563;100.256
2019-01-23;64,85;64,98;64,56;64,56;236;15.296
2019-01-22;65,00;65,01;64,39;64,39;1.451;94.009
2019-01-21;64,09;64,87;64,09;64,77;376;24.276
2019-01-18;63,76;64,71;63,75;64,61;516;33.153
2019-01-17;62,50;64,12;62,50;64,12;914;57.608
2019-01-16;63,40;63,58;62,13;62,83;2.582;162.793
2019-01-15;62,38;63,38;62,38;63,05;2.656;167.441
2019-01-14;64,69;64,78;61,79;61,82;6.461;408.514
2019-01-11;65,70;65,70;64,85;64,85;746;48.837
2019-01-10;65,30;66,49;65,30;66,35;3.707;244.251
2019-01-09;66,87;66,87;65,90;65,90;1.896;125.965
2019-01-08;67,90;67,90;66,49;66,49;1.502;100.988
2019-01-07;68,80;68,80;67,44;67,44;808;54.820
2019-01-04;67,35;68,09;67,35;68,02;874;59.435
2019-01-03;65,57;68,08;65,54;67,97;1.262;84.597
2019-01-02;65,45;66,71;65,45;66,70;965;63.667
2018-12-28;64,68;65,33;64,68;65,33;1.851;120.595
2018-12-27;66,22;66,22;63,37;63,42;3.104;200.951
2018-12-21;66,85;66,85;65,83;65,83;3.255;216.349
2018-12-20;66,17;67,28;65,65;66,32;1.451;95.721
2018-12-18;67,50;67,94;67,29;67,29;645;43.605
2018-12-17;69,32;69,35;67,79;67,79;1.371;94.842
2018-12-14;68,84;69,20;68,68;68,69;494;34.135
2018-12-13;68,75;68,99;68,72;68,99;189;13.016
2018-12-12;68,66;68,98;68,17;68,98;681;46.680
2018-12-11;67,72;69,09;67,64;69,09;284;19.361
2018-12-10;66,17;68,36;66,17;67,38;1.309;88.901
2018-12-07;66,00;68,27;66,00;67,47;405;27.380
2018-12-06;68,50;68,50;67,04;67,12;4.908;332.803
2018-12-05;70,21;70,21;69,01;69,01;2.080;144.955
2018-12-04;70,03;70,40;69,36;70,28;830;57.942
2018-12-03;72,00;72,23;69,83;70,13;2.624;185.273
2018-11-30;70,55;70,55;70,03;70,14;711;50.025
2018-11-29;70,18;70,63;69,88;70,63;1.133;79.506
2018-11-28;70,19;70,67;69,87;70,03;2.242;157.910
2018-11-27;70,00;70,00;69,43;69,96;596;41.443
2018-11-26;71,40;71,40;70,50;70,90;551;39.068
2018-11-23;69,00;70,97;69,00;70,97;813;56.528
2018-11-22;70,44;70,44;69,50;69,50;807;56.317
2018-11-21;70,66;71,04;70,53;70,53;333;23.540
2018-11-20;70,51;71,45;70,51;70,80;1.307;92.887
2018-11-19;71,06;71,10;69,90;70,40;1.350;95.376
2018-11-16;71,80;71,80;68,50;70,61;1.630;114.364
2018-11-15;73,18;73,62;72,00;72,64;1.012;74.051
2018-11-14;73,20;73,48;72,92;73,00;982;71.846
2018-11-13;72,26;73,96;72,06;73,14;1.428;104.570
2018-11-12;72,00;73,11;71,63;72,51;2.925;212.355
2018-11-09;71,01;72,20;70,93;71,86;2.741;196.176
2018-11-08;69,10;71,74;69,00;70,90;4.070;284.012
2018-11-07;67,72;67,72;67,28;67,28;89;5.996
2018-11-06;67,81;67,81;66,89;66,90;440;29.488
2018-11-05;66,41;68,72;66,41;68,72;308;20.787
2018-11-02;67,61;67,65;66,06;66,21;265;17.774
2018-11-01;67,10;67,21;66,84;66,84;200;13.420
2018-10-31;68,45;69,30;68,30;68,67;730;50.185
2018-10-30;66,99;67,56;66,99;67,49;618;41.563
2018-10-29;66,14;67,54;66,14;66,57;1.002;67.110
2018-10-26;65,83;66,05;65,00;65,00;574;37.531
2018-10-25;66,53;66,53;64,30;66,37;1.347;88.076
2018-10-24;69,46;69,50;67,87;67,87;644;44.689
2018-10-23;68,17;69,00;67,96;69,00;1.835;125.621
2018-10-22;68,26;68,92;67,88;68,63;1.355;92.544
2018-10-19;67,93;67,94;67,85;67,85;1.527;103.725
2018-10-18;68,00;68,00;67,55;67,96;1.041;70.537
2018-10-17;67,37;68,22;67,37;68,22;189;12.842
2018-10-16;65,03;66,99;65,03;66,99;451;29.540
2018-10-15;63,80;64,63;63,80;64,54;430;27.540
2018-10-12;64,98;64,98;63,67;63,83;394;25.157
2018-10-11;65,01;65,47;64,06;64,06;2.748;178.767
2018-10-10;66,10;66,73;65,92;65,92;1.021;67.635
2018-10-09;65,68;65,68;65,68;65,68;10;657
2018-10-08;67,54;67,54;66,03;66,03;1.948;130.068
2018-10-05;68,71;68,71;67,43;68,07;312;21.186
2018-10-04;69,23;69,38;68,11;68,25;1.912;131.687
2018-10-03;68,63;69,44;68,63;69,40;638;44.070
2018-10-02;68,35;68,61;67,71;68,61;600;40.972
2018-10-01;68,34;68,50;67,49;68,07;2.276;153.923
2018-09-28;67,99;68,36;67,90;68,18;2.233;152.080
2018-09-27;66,79;67,80;66,79;67,80;310;20.840
2018-09-26;66,00;66,71;66,00;66,09;454;30.131
2018-09-25;64,03;65,49;64,03;65,49;869;55.993
2018-09-24;63,94;64,40;63,67;64,40;399;25.507
2018-09-21;63,90;63,95;63,51;63,78;2.215;141.307
2018-09-20;63,37;63,67;63,37;63,67;211;13.374
2018-09-19;64,06;64,06;64,06;64,06;26;1.666
2018-09-18;63,75;64,47;63,52;64,47;635;40.472
2018-09-17;64,28;64,28;63,58;63,96;418;26.727
2018-09-14;63,92;63,92;63,65;63,81;447;28.520
2018-09-13;64,94;64,94;63,84;63,87;373;23.934
2018-09-12;65,61;65,61;64,88;64,96;278;18.093
2018-09-11;65,07;65,14;65,07;65,08;1.264;82.302
2018-09-10;64,23;64,80;64,23;64,80;417;26.935
2018-09-07;63,50;64,06;63,50;64,06;82;5.211
2018-09-06;63,98;64,03;63,39;63,39;1.181;75.319
2018-09-05;64,81;65,12;64,35;64,43;1.061;68.727
2018-09-04;66,23;66,23;64,85;64,85;909;59.849
2018-09-03;65,55;66,18;65,35;65,89;2.340;153.640
2018-08-31;65,88;65,88;65,27;65,27;281;18.424
2018-08-30;66,17;66,74;66,17;66,60;269;17.896
2018-08-29;66,32;66,32;66,12;66,27;385;25.506
2018-08-28;65,67;66,00;65,52;65,87;924;60.736
2018-08-27;65,97;66,60;65,97;66,20;991;65.663
2018-08-24;65,90;66,09;65,79;65,88;660;43.519
2018-08-23;67,00;67,14;65,69;65,87;1.346;89.276
2018-08-22;66,84;67,14;66,70;67,14;984;65.867
2018-08-21;67,40;67,69;66,74;66,74;800;53.941
2018-08-20;66,57;67,58;66,44;67,58;380;25.467
2018-08-17;67,00;67,18;66,40;66,50;641;42.898
2018-08-16;67,15;67,56;67,00;67,12;1.765;118.488
2018-08-15;68,60;68,90;67,03;67,06;2.180;148.370
2018-08-14;68,31;68,66;68,00;68,58;703;48.017
2018-08-13;69,20;69,20;68,32;68,71;677;46.476
2018-08-10;68,44;69,00;68,32;69,00;1.002;68.734
2018-08-09;67,34;68,50;67,34;68,30;1.173;80.000
2018-08-08;66,65;66,99;66,41;66,99;407;27.159
2018-08-07;66,19;67,69;66,19;66,92;1.713;114.844
2018-08-06;66,72;66,72;65,41;66,11;554;36.396
2018-08-03;66,07;66,54;65,95;66,54;528;35.005
2018-08-02;65,78;66,29;65,55;66,29;715;47.064
2018-08-01;66,99;66,99;65,71;65,98;1.922;127.241
2018-07-31;65,55;66,73;65,51;66,73;958;63.263
2018-07-30;65,50;65,50;65,29;65,29;737;48.190
2018-07-27;65,51;65,83;64,93;65,73;2.540;166.333
2018-07-26;64,44;66,06;64,02;65,58;3.029;197.523
2018-07-25;63,30;63,92;63,00;63,92;491;31.080
2018-07-24;63,45;63,89;63,45;63,89;733;46.658
2018-07-23;63,18;63,20;63,00;63,20;410;25.874
2018-07-20;63,00;63,57;63,00;63,36;872;55.321
2018-07-19;64,10;64,10;63,65;63,65;1.439;91.739
2018-07-18;63,33;64,30;63,33;64,30;3.294;210.438
2018-07-17;62,56;63,42;62,53;63,42;446;28.134
2018-07-16;63,65;63,65;62,37;62,80;2.407;151.097
2018-07-13;62,83;63,49;62,83;63,49;1.045;65.890
2018-07-12;60,99;62,97;60,99;62,97;1.214;75.159
